,Cluster_1_Mean,Cluster_3_Mean,Cluster_1_StdDev,Cluster_3_StdDev,Mean_Difference,Contribution
MW,1824.600945290909,571.7420295281249,1680.4776020904196,147.18543486710863,1252.8589157627841,0.4571758583560591
LabuteASA,758.1647397090909,239.939505896875,706.5258832770226,60.29636714262184,518.225233812216,0.1847629149810665
MolMR,477.9946431818182,153.77301875,454.0070262208911,37.27545607235702,324.2216244318182,0.11125310226652937
TPSA,338.99409090909086,100.415625,293.4113034895442,28.75503534446255,238.57846590909085,0.09839800609155512
