,Cluster_2_Mean,Cluster_4_Mean,Cluster_2_StdDev,Cluster_4_StdDev,Mean_Difference,Contribution
MW,437.6054662888889,1230.5994768750002,93.65636306599761,111.01588123702396,-792.9940105861112,0.4584719318588939
LabuteASA,182.0867888444444,509.7593858,35.29343390795514,45.1244109219081,-327.6725969555556,0.18920276256160753
MolMR,113.00358888888888,320.61542499999996,21.27772171459179,27.599142268957255,-207.61183611111107,0.1219846056790033
TPSA,97.30222222222224,226.75125,23.412085435613044,23.62874849324742,-129.44902777777776,0.062433462132796685
