Dim1,Dim2,ID,Label
-11.294719,-6.3436346,1,0
8.517621,-16.459574,2,1
-4.427546,-20.00559,3,2
-11.518127,-6.465673,4,0
-8.972743,6.0379643,5,3
12.543657,6.802754,6,4
9.635935,-14.740054,7,1
-13.238108,-9.396726,8,0
5.225689,0.2396557,9,4
9.892296,-14.3579855,10,1
3.851947,2.3251615,11,4
2.696262,3.7657282,12,4
7.9450693,2.845775,13,4
-21.701246,1.9809767,14,5
3.295052,-4.5718517,15,4
9.813916,-14.478813,16,1
-2.1954513,10.044618,17,4
12.132846,7.7531424,18,4
-4.4491563,-20.06516,19,2
-11.564409,-6.529072,20,0
-4.4694405,-20.12192,21,2
-12.314355,-9.250184,22,0
4.8099046,3.9947743,23,4
-4.447959,-20.06602,24,2
12.804692,6.544703,25,4
11.988959,8.58308,26,4
7.110339,4.2561646,27,4
-9.021396,6.0654006,28,3
1.2425659,-6.5165505,29,4
2.862545,5.3908644,30,4
-12.849634,15.27133,31,6
-21.698029,1.9769673,32,5
-9.034737,6.0870223,33,3
-12.7310915,-8.559952,34,0
-13.458111,15.343815,35,6
12.601886,6.8233485,36,4
-11.78681,-10.101355,37,0
-11.848804,-7.6320925,38,0
6.997775,3.812172,39,4
9.143978,-15.494612,40,1
10.607886,6.495761,41,4
11.762625,8.422857,42,4
5.3846154,2.637617,43,4
7.815357,2.652937,44,4
-21.696127,1.9733436,45,5
2.9433522,3.4161403,46,4
3.3604248,-4.7311993,47,4
9.60487,-14.796317,48,1
-11.820286,-10.22974,49,0
11.876727,8.455736,50,4
-13.188983,-9.30684,51,0
12.539383,6.7533493,52,4
3.8079934,4.867966,53,4
-0.080225885,7.8109617,54,4
3.8477185,4.2946744,55,4
-13.052951,15.291667,56,6
-12.905928,-6.9870524,57,0
-13.39011,15.331223,58,6
9.080809,-15.593227,59,1
-21.700958,1.9793006,60,5
9.889047,-14.358442,61,1
2.405135,-4.554625,62,4
3.1558378,2.5703468,63,4
5.161613,3.5391536,64,4
-13.377588,-6.5689774,65,0
3.5841753,-4.5623627,66,4
7.9533834,2.7770407,67,4
2.3163686,8.287194,68,4
-13.364639,15.330256,69,6
4.9259768,-0.44542822,70,4
4.140871,-2.3121529,71,4
-1.1564053,8.481969,72,4
-21.698967,1.9767684,73,5
-11.496653,-6.4601436,74,0
-13.206895,-9.839675,75,0
11.114491,8.041398,76,4
-12.093516,-10.352732,77,0
-2.1031966,9.907721,78,4
-11.751145,-10.3594055,79,0
1.193095,-6.6291595,80,4
1.4450856,-5.669214,81,4
-13.104732,15.299979,82,6
-8.919521,5.981331,83,3
3.2540493,-3.414841,84,4
1.3103881,-6.2757206,85,4
12.053814,8.5792465,86,4
3.9591272,-4.8032784,87,4
-7.1529465,3.5946746,88,3
-12.20952,15.202975,89,6
1.2288611,-5.623031,90,4
-9.100881,6.142984,91,3
11.425679,6.6843686,92,4
3.7087493,-4.344355,93,4
2.0581725,7.602181,94,4
4.768085,-0.5784261,95,4
-12.697551,15.257949,96,6
-12.946627,15.282195,97,6
-8.96966,6.0401883,98,3
-13.1165085,-9.4123745,99,0
-13.359905,15.329336,100,6
2.0543785,7.1278753,101,4
8.468622,-16.534763,102,1
10.56297,6.6929445,103,4
2.2396073,8.216054,104,4
-6.792271,3.0122335,105,3
-11.695584,-6.6019206,106,0
-1.4198672,8.962129,107,4
-6.7220745,2.7903817,108,3
8.542397,-16.419298,109,1
1.9324356,6.817897,110,4
-13.4367,-6.6137633,111,0
1.8712535,6.524607,112,4
9.950253,-14.272178,113,1
8.8027315,-16.021757,114,1
3.9836297,1.312985,115,4
-2.505373,10.430301,116,4
7.6215086,2.6159253,117,4
3.7203963,-2.4788225,118,4
2.1629398,7.927903,119,4
2.0117354,6.2068715,120,4
3.2283037,2.2500508,121,4
4.762785,4.1584115,122,4
-13.341418,15.330211,123,6
10.529031,7.171549,124,4
-0.17669407,8.090165,125,4
2.5257661,-3.9801884,126,4
8.674517,-16.212984,127,1
-2.3987105,10.296141,128,4
3.69628,-3.7416372,129,4
-12.086334,-10.368314,130,0
1.5552151,6.8520722,131,4
3.6698506,-3.795247,132,4
4.6534095,-0.9948636,133,4
-4.5099173,-20.240982,134,2
-8.849759,5.9068685,135,3
2.2826014,8.304917,136,4
-6.785326,2.9815097,137,3
-11.477314,-6.444477,138,0
2.011815,6.02106,139,4
6.3822875,2.1847246,140,4
3.7005398,4.20515,141,4
3.0374408,-3.9743512,142,4
1.2879399,-6.278878,143,4
8.455257,-16.557478,144,1
-4.4565115,-20.085873,145,2
-2.0990987,9.907626,146,4
-12.835354,15.264021,147,6
-21.69841,1.9765074,148,5
-1.3721728,8.858882,149,4
9.373074,4.0037417,150,4
8.690273,3.432966,151,4
2.223167,4.439775,152,4
3.4198241,4.3527813,153,4
4.609771,-0.98920596,154,4
1.284029,-6.542268,155,4
1.6033688,6.7495623,156,4
-9.172099,6.186039,157,3
4.283283,-1.6041796,158,4
7.820493,2.7816494,159,4
10.547301,7.079938,160,4
1.8299998,6.8221307,161,4
-6.69363,2.7833312,162,3
12.691508,6.987564,163,4
8.282724,3.4050417,164,4
7.7251844,2.6906822,165,4
-1.3608092,9.066762,166,4
-21.69627,1.974342,167,5
-12.015743,-6.708362,168,0
-11.434279,-6.4388294,169,0
9.881705,-14.37836,170,1
9.801459,-14.496272,171,1
-2.4194772,10.313535,172,4
4.5852323,1.0241998,173,4
3.7542202,-3.1389081,174,4
12.307819,7.9073324,175,4
-12.124956,-10.292303,176,0
8.435299,-16.584818,177,1
3.2075582,3.8409998,178,4
-4.4647565,-20.10781,179,2
-11.733494,-10.317667,180,0
3.3273754,2.3915844,181,4
3.9079673,-2.6624646,182,4
9.4478035,-15.032906,183,1
-1.2816316,8.896197,184,4
-6.7229066,2.7879646,185,3
3.437486,-4.208969,186,4
8.824488,3.6417043,187,4
-8.854565,5.9186745,188,3
7.5348883,2.7256513,189,4
7.3509083,2.5944026,190,4
-11.7734785,-10.277013,191,0
2.2742908,8.206923,192,4
4.397062,-1.0994942,193,4
12.575679,6.534082,194,4
-13.395067,-6.574315,195,0
3.257225,3.9247496,196,4
10.717264,5.696162,197,4
-1.2701089,8.742177,198,4
-21.700312,1.9789542,199,5
-12.7324,15.257756,200,6
0.2519285,7.601841,201,4
5.594476,3.8448803,202,4
-13.19248,-6.6249585,203,0
1.453252,-4.665219,204,4
-2.4867187,10.403099,205,4
-21.699034,1.9799122,206,5
-6.742638,2.8558767,207,3
11.172569,8.1128645,208,4
-13.3919735,-9.651901,209,0
8.747679,-16.10292,210,1
-6.803174,3.0361323,211,3
4.3967266,-1.0305263,212,4
4.6432815,-0.91892827,213,4
3.3159811,2.255884,214,4
1.7861526,-6.1207714,215,4
12.606623,7.0788417,216,4
10.842078,7.357477,217,4
1.3766961,-6.438084,218,4
-13.31945,-9.3621435,219,0
5.0826044,3.5157082,220,4
1.2237176,-5.1327786,221,4
-13.348329,-9.745744,222,0
-13.38523,-6.532671,223,0
-21.700903,1.9801404,224,5
12.608852,6.2975726,225,4
1.1915637,-6.3803864,226,4
1.8260239,7.5459337,227,4
-4.4270267,-20.004143,228,2
-11.806032,-9.702686,229,0
11.971583,5.9769244,230,4
7.568844,2.7577574,231,4
11.887204,6.0963902,232,4
-1.3161304,8.93816,233,4
11.784518,8.670712,234,4
8.460412,-16.548473,235,1
10.782603,6.7674584,236,4
4.4320927,-1.2959499,237,4
2.8138094,4.156744,238,4
-21.699972,1.9778779,239,5
9.437245,-15.04889,240,1
1.2773763,-6.222065,241,4
-4.449966,-20.066132,242,2
5.354203,3.4361014,243,4
-21.70851,1.9849281,244,5
9.694547,-14.662617,245,1
12.629464,6.449223,246,4
-12.9536295,15.282731,247,6
3.6210494,1.8380967,248,4
-6.7173285,2.798662,249,3
2.3730567,3.5425856,250,4
9.237899,-15.353217,251,1
10.786621,7.1713805,252,4
-8.884211,5.9522924,253,3
12.783392,6.4956856,254,4
-6.7679753,2.9111226,255,3
