,0,1,2,3
MolMR,0.0,0.00833333333333337,0.0,0.0
NumEthers,0.0,0.012500000000000044,0.0,0.0
PolarRatio,0.0,0.0,0.013888888888888862,0.0
LongestAliphaticChain,0.0,0.00833333333333337,0.008333333333333304,0.0
TPSA,0.0,0.02777777777777781,0.01388888888888885,0.0
FractionCSP3,0.0,0.07083333333333337,-0.02083333333333335,0.0
NumCarbonyls,0.0,0.0,0.14027777777777778,0.0
NumSulfurs,0.0,0.01388888888888895,0.018055555555555526,0.10833333333333339
NumAromRings,0.1833333333333333,0.0,-0.00277777777777779,0.0
NumRings,0.0,0.0,0.20555555555555555,0.0
