Dim1,Dim2,Index
-9.757134,7.07598,0
1.0523273,7.1116214,1
2.3999035,8.020856,2
1.8459914,7.635668,3
3.1692808,8.5032215,4
10.375801,-3.5758667,5
10.311078,-2.8272388,6
10.325426,-2.6757782,7
10.33504,-2.565135,8
4.486017,9.72207,9
3.3887365,7.9534054,10
-9.88706,-9.783147,11
-10.060108,-9.8034115,12
-9.902232,-9.7868805,13
-9.890178,-9.784421,14
0.062348776,2.8949041,15
0.028528364,2.5176473,16
0.04304189,2.799733,17
2.798045,8.22242,18
0.04001453,2.683837,19
-8.829495,-9.632155,20
-8.799726,-9.628374,21
-8.962124,-9.6523695,22
-4.360388,-8.908685,23
-3.9951231,-8.834494,24
-2.8575244,-8.555387,25
-1.489663,-8.194524,26
-1.0933018,-8.084139,27
0.09714506,3.5512033,28
2.2881806,7.916191,29
0.046292987,2.5954218,30
-11.950533,6.7225976,31
-12.030149,6.709581,32
-11.767024,6.751926,33
-11.82135,6.743502,34
-12.095336,6.6974487,35
-7.481212,-9.434294,36
-4.249684,-8.885444,37
-7.055283,-9.360766,38
-6.838887,-9.3268,39
-8.192871,-9.535971,40
-7.1731257,-9.382333,41
-4.523791,-8.920853,42
-2.3095756,-8.415594,43
-1.5850371,-8.219156,44
-0.9823575,-8.045074,45
-9.212046,-9.686363,46
-5.4374866,-9.087902,47
-3.3817863,-8.684992,48
-1.1164868,-8.091604,49
0.053380903,2.8726966,50
0.08247591,3.0524094,51
11.372568,-3.2000237,52
10.104478,-4.857321,53
-1.0954447,-8.085554,54
-1.0372416,-8.067147,55
-3.8000138,-8.791621,56
-10.387606,6.976311,57
-10.543891,6.9479227,58
10.104676,-4.7888536,59
12.229349,-2.6134975,60
-12.01916,6.711779,61
9.979472,-4.804392,62
-10.068756,7.027134,63
10.167409,-4.8560658,64
3.9229662,8.732029,65
10.117183,-4.8203588,66
9.991387,-4.8236613,67
-9.374538,-9.711616,68
-4.236953,-8.893581,69
2.5896738,7.598162,70
4.5262136,9.697755,71
4.27837,9.552722,72
3.5104017,8.543016,73
4.6360836,9.793604,74
8.9550705,-4.547944,75
-4.232861,-8.878353,76
11.553297,-1.5966716,77
11.133856,-1.9309397,78
11.659589,-1.6703761,79
12.143073,-1.7504101,80
11.853516,-1.8129857,81
11.556305,-1.7942252,82
11.326641,-1.5724888,83
10.942507,-2.0492039,84
-8.908313,7.1888366,85
-3.4510648,7.7311554,86
-3.2489471,7.703549,87
-3.4188814,7.7293925,88
-3.4139163,7.7319384,89
-3.2493238,7.6979914,90
-3.044071,7.654082,91
-1.9065751,7.360659,92
0.014958686,6.91044,93
0.56896996,6.8670344,94
0.96331096,7.1243396,95
0.94868207,7.1166205,96
2.213561,7.7794194,97
4.439245,9.65251,98
0.9351484,7.11661,99
-3.4880972,7.749963,100
-9.732605,7.076874,101
-7.489388,-9.430285,102
4.565083,9.773623,103
