Feature,Importance
f6,6.058681964874268
f5,4.050350666046143
f18,4.007932662963867
f12,3.626260995864868
f16,3.1925079822540283
f7,2.486276626586914
f4,1.8932688236236572
f3,1.8630428314208984
f2,1.6116366386413574
f13,1.5688399076461792
f23,1.427691102027893
f0,1.131792664527893
f8,1.0761512517929077
f15,1.0371670722961426
f17,0.9619632959365845
f20,0.7101539373397827
f22,0.6666269898414612
f1,0.6642859578132629
f24,0.5094674825668335
f11,0.2728641629219055
f21,0.2606436610221863
f10,0.16928163170814514
f9,0.10086620599031448
