,0,1,2,3,4,5,6
NumRings,0.0,0.0,0.0,0.0,0.017391304347826052,0.0,0.0
NumEthers,0.0,0.0,0.0,0.015217391304347783,0.0032608695652173838,0.0,0.0
LogP,0.0,0.01630434782608693,0.0,0.011956521739130399,0.006521739130434745,0.0,0.0
NumOH,0.008695652173913082,0.0021739130434782483,0.0,0.038043478260869526,-1.1102230246251566e-17,0.0,0.0
NumCarboxyls,0.0,0.0,0.0,0.0,0.0,0.05217391304347826,0.0
TPSA,0.0,0.0,0.03586956521739132,0.00978260869565214,0.024999999999999946,0.0,0.0
NumAromRings,0.0,0.0869565217391304,0.0,0.0,0.0021739130434782483,0.0,0.0
NumSulfurs,0.0,0.0,0.0,0.0,0.015217391304347783,0.0,0.08478260869565221
FractionCSP3,0.08152173913043478,0.010869565217391242,0.04456521739130433,0.0,0.0,0.0,0.0
NumChargedAtoms,0.21521739130434786,0.0,0.0,0.0,0.15434782608695646,0.0,0.0
