Dim1,Dim2,Index
-0.83797556,-13.285748,0
1.4500816,4.8071775,1
6.7954793,8.933032,2
6.697044,8.645262,3
7.41573,9.147061,4
-6.8614182,10.567868,5
4.429357,-10.819085,6
4.2093425,-10.915145,7
4.239853,-10.890275,8
8.813462,9.590295,9
6.68241,9.172637,10
1.0729011,-4.679901,11
1.8844181,-4.466258,12
0.44873586,-3.3876584,13
0.49782637,-3.0721579,14
3.4300451,-5.2169194,15
3.4949682,-5.257822,16
3.6357462,-5.311157,17
7.033085,8.771333,18
3.5857778,-5.285251,19
0.32742366,-3.6684427,20
0.29293022,-3.492765,21
0.051803604,-2.9854665,22
-0.21329802,-1.2862155,23
-0.15868959,-0.52642584,24
-0.06804762,-0.36555797,25
0.043643665,0.51357114,26
0.09602468,1.616623,27
1.2955217,4.5463085,28
6.617423,8.808204,29
3.7324216,-5.3922234,30
-2.2048025,-13.892572,31
-2.282453,-13.9295025,32
-2.0105453,-13.810008,33
-2.090687,-13.845371,34
-2.3416078,-13.956868,35
-7.6183233,10.9826765,36
-0.6254066,-0.9549697,37
-8.609379,12.087956,38
-8.689376,12.208864,39
-8.594291,12.066226,40
-8.534442,12.0978565,41
-0.6191733,-0.45413297,42
-0.476551,0.5102383,43
-0.1915114,1.1831201,44
0.39016417,2.5177698,45
0.25688764,-3.3835986,46
-0.54682374,-1.4745902,47
-0.50279164,0.1547677,48
0.079595126,1.8175952,49
1.029631,3.9368227,50
1.3302518,4.6101418,51
-6.833695,10.159837,52
-7.1041026,10.18252,53
-0.066315785,1.2745237,54
0.22751251,2.0969675,55
-0.6556457,-0.3238456,56
-1.0094136,-13.373921,57
-1.0411298,-13.3753395,58
-7.003748,11.212212,59
2.2874544,-11.710804,60
-2.191073,-13.891209,61
-6.875515,10.755461,62
-1.2127175,-13.460162,63
-6.98615,10.852732,64
6.5166273,9.030888,65
-7.216063,11.203048,66
-7.2751184,11.415482,67
0.22629552,-3.1152952,68
0.13761915,-1.4090056,69
6.4223075,9.044506,70
8.90271,9.623591,71
8.772389,9.579368,72
8.41817,9.517311,73
8.804714,9.6051445,74
-8.056952,11.863022,75
0.122483104,-2.403274,76
3.282315,-11.285111,77
3.8656197,-11.034227,78
3.0339408,-11.390001,79
2.6014793,-11.545404,80
2.8757544,-11.424523,81
3.0323446,-11.389398,82
3.3099163,-11.272029,83
3.887889,-11.003139,84
1.076062,-12.242978,85
-13.076824,-2.2125795,86
-12.953352,-2.0824628,87
-12.987816,-2.1186213,88
-12.994365,-2.12217,89
-12.915529,-2.0467749,90
-12.793876,-1.9215163,91
-12.668401,-1.814322,92
1.2377045,4.4662623,93
1.3763285,4.7357554,94
1.457784,4.8549566,95
1.4419531,4.8254666,96
6.597753,8.8433,97
8.911351,9.630306,98
1.4528391,4.8615623,99
-13.102002,-2.2247097,100
-0.48254302,-13.0942135,101
-8.497137,12.066509,102
8.90361,9.621886,103
