Feature,VIF
AliphaticCarbonCount,inf
NumAromRings,inf
CarbonCount,inf
LabuteASA,4334606.847690823
HeavyAtomCount,3670292.9428023007
MW,1066007.4156267818
MolMR,172671.28106456163
Chi0v,76779.80965526632
Chi1v,39050.070380270365
NumEthers,4685.737656190227
TPSA,4457.934773178982
NumOH,1835.5167277464122
RotBonds,1658.0072334581564
HBA,1576.5013225667567
HBD,962.8453179670811
LogP,450.89297915156834
NumAmines,306.8940779818854
NumRings,236.50694211019416
NumSulfurs,143.68493089036775
NumCarbonyls,132.6971879139471
FractionCSP3,15.218710086577024
PolarRatio,9.59072033202121
LongestAliphaticChain,7.34094752055307
NumCarboxyls,
NumChargedAtoms,
