Descriptor_Set,DR_Method,Clustering,ARI_vs_Baseline,N_Clusters,Silhouette,Davies_Bouldin
Original_25,PaCMAP,DBSCAN,1.0,4,0.6643189787864685,0.36289187700998987
Original_25,KMeans,KMeans_4,1.0,4,0.6643189787864685,0.36289187700998987
Original_25,KMeans,KMeans_6,0.4203816087942888,6,0.6816356182098389,0.41596559896609214
Original_25,Hierarchical,Hierarchical_4,1.0,4,0.6643189787864685,0.36289187700998987
Original_25,PaCMAP,HDBSCAN,0.10569713706559068,19,0.768426239490509,0.2917945617115103
Original_25,PCA,DBSCAN,-0.01818512250175165,1,,
Original_25,KMeans,KMeans_4,0.05600975743142185,4,0.447776491138965,0.6391770005231654
Original_25,KMeans,KMeans_6,0.03525449921984587,6,0.493302448386749,0.5722705793610171
Original_25,Hierarchical,Hierarchical_4,-0.06295019962328609,4,0.4790967743066519,0.6083506548825829
Original_25,PCA,HDBSCAN,0.09220770026715969,12,0.6461056322017847,0.4679092813042724
Original_25,t-SNE,DBSCAN,0.39515740011576184,6,0.5026242733001709,0.5930217451983971
Original_25,KMeans,KMeans_4,0.31943747169256026,4,0.5756464600563049,0.5814286760384548
Original_25,KMeans,KMeans_6,0.2814937724350464,6,0.5581504702568054,0.5885368092737829
Original_25,Hierarchical,Hierarchical_4,0.2604723394088557,4,0.5658829808235168,0.5610757378826062
Original_25,t-SNE,HDBSCAN,0.4105335130212798,9,0.446738600730896,0.5504289135286744
Original_25,UMAP,DBSCAN,0.9538988826249831,6,0.575802206993103,0.3401267856349936
Original_25,KMeans,KMeans_4,0.40193681973297024,4,0.5932113528251648,0.5383796717895049
Original_25,KMeans,KMeans_6,0.3707290926398596,6,0.6021056175231934,0.5166598445663091
Original_25,Hierarchical,Hierarchical_4,0.40308906043127785,4,0.5935882925987244,0.5386606333499615
Original_25,UMAP,HDBSCAN,0.5139915001228569,9,0.6867642402648926,0.309384597601214
Minimal_10,PaCMAP,DBSCAN,0.4872986975247208,4,0.7719048857688904,0.28841310432327594
Minimal_10,KMeans,KMeans_4,0.4872986975247208,4,0.7719048857688904,0.28841310432327594
Minimal_10,KMeans,KMeans_6,0.3026464958387764,6,0.7296050786972046,0.38188658065239306
