TARGET,MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings,HeavyAtomCount,CarbonCount,AliphaticCarbonCount,NumOH,NumCarbonyls,NumCarboxyls,NumEthers,NumSulfurs,NumAmines,LabuteASA,NumChargedAtoms,MolMR,LongestAliphaticChain,PolarRatio,Chi0v,Chi1v,Index
1.762678564,236.1259884,-1.2052,107.22,6,4,8,0,0.9,0,16,10,10,4,1,0,1,0,0,94.4757324,0,55.5902,5,6.70125,9.372935676,5.33157128,35
0.450249108,436.3400039,3.465,75.61,7,1,26,0,1.0,0,30,23,23,1,0,0,6,0,0,184.2434827,0,119.1568,9,2.520333333,19.61618923,11.91928781,36
0.469822016,568.4186481,3.5148,103.3,10,1,35,0,1.0,0,39,29,29,1,0,0,9,0,0,237.773771,0,151.6138,9,2.648717949,25.08357479,15.15133862,37
0.336459734,241.1314081,0.9576,72.47,4,1,7,0,0.75,1,17,12,12,0,3,0,1,0,1,100.8957568,0,61.2727,8,4.262941176,10.1600909,6.108537228,38
1.782114148,250.1416384,-0.8151,107.22,6,4,9,0,0.909090909,0,17,11,11,4,1,0,1,0,0,100.8406745,0,60.2072,6,6.307058824,10.08004246,5.83157128,39
1.0,250.1416384,-0.8151,107.22,6,4,9,0,0.909090909,0,17,11,11,4,1,0,1,0,0,100.8406745,0,60.2072,6,6.307058824,10.08004246,5.83157128,40
1.176091259,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,41
1.198657087,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,42
1.0,264.1572885,-0.425,107.22,6,4,10,0,0.916666667,0,18,12,12,4,1,0,1,0,0,107.2056166,0,64.8242,7,5.956666667,10.78714924,6.33157128,43
1.255272505,264.1572885,-0.425,107.22,6,4,10,0,0.916666667,0,18,12,12,4,1,0,1,0,0,107.2056166,0,64.8242,7,5.956666667,10.78714924,6.33157128,44
1.079181246,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,45
1.100370545,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,46
1.819858798,321.2151377,-0.7588,121.46,6,5,12,0,0.933333333,0,22,15,15,5,1,0,0,0,1,131.7409652,0,82.126,8,5.520909091,13.55778519,7.917352382,47
1.653212514,305.1838376,-0.737,119.25,6,5,8,0,0.928571429,1,21,14,14,4,1,0,1,0,1,124.4795319,0,75.2859,8,5.678571429,12.44184978,7.607270031,48
1.84509804,305.1838376,-0.737,119.25,6,5,8,0,0.928571429,1,21,14,14,4,1,0,1,0,1,124.4795319,0,75.2859,8,5.678571429,12.44184978,7.607270031,49
1.278753601,278.1729386,-0.0349,107.22,6,4,11,0,0.923076923,0,19,13,13,4,1,0,1,0,0,113.5705587,0,69.4412,8,5.643157895,11.49425602,6.83157128,50
0.439332694,470.2363267,-2.8498,206.6,12,8,15,0,0.95,1,32,20,20,8,1,0,3,0,0,186.5233479,0,108.0814,8,6.45625,18.27081538,10.94011971,51
-0.349692477,598.3564418,0.4878,160.83,13,3,30,0,0.964285714,1,41,28,28,3,1,0,9,0,0,244.1529874,0,147.8284,8,3.922682927,24.78987395,14.92967413,52
-0.349692477,598.3564418,0.4878,160.83,13,3,30,0,0.964285714,1,41,28,28,3,1,0,9,0,0,244.1529874,0,147.8284,8,3.922682927,24.78987395,14.92967413,53
-0.349692477,598.3564418,0.4878,160.83,13,3,30,0,0.964285714,1,41,28,28,3,1,0,9,0,0,244.1529874,0,147.8284,8,3.922682927,24.78987395,14.92967413,54
-0.286509457,950.5661598,0.6206,234.67,21,3,54,0,0.977272727,1,65,44,44,3,1,0,17,0,0,386.9004231,0,234.3804,8,3.610307692,39.36956878,23.54847629,55
-0.286509457,950.5661598,0.6206,234.67,21,3,54,0,0.977272727,1,65,44,44,3,1,0,17,0,0,386.9004231,0,234.3804,8,3.610307692,39.36956878,23.54847629,56
-0.286509457,950.5661598,0.6206,234.67,21,3,54,0,0.977272727,1,65,44,44,3,1,0,17,0,0,386.9004231,0,234.3804,8,3.610307692,39.36956878,23.54847629,57
0.667452953,2051.221528,1.0356,465.42,46,3,129,0,0.989361702,1,140,94,94,3,1,0,42,0,0,832.9861595,0,504.8554,8,3.324428571,84.9311151,50.48223302,58
0.667452953,2051.221528,1.0356,465.42,46,3,129,0,0.989361702,1,140,94,94,3,1,0,42,0,0,832.9861595,0,504.8554,8,3.324428571,84.9311151,50.48223302,59
0.667452953,2051.221528,1.0356,465.42,46,3,129,0,0.989361702,1,140,94,94,3,1,0,42,0,0,832.9861595,0,504.8554,8,3.324428571,84.9311151,50.48223302,60
0.419955748,468.2206766,-2.4858,195.6,12,7,11,0,0.95,2,32,20,20,7,1,0,4,0,0,185.8368282,0,105.8686,8,6.1125,18.10209356,11.02038151,61
0.643452676,278.1729386,-0.0349,107.22,6,4,11,0,0.923076923,0,19,13,13,4,1,0,1,0,0,113.5705587,0,69.4412,8,5.643157895,11.49425602,6.83157128,62
0.204119983,306.1678532,-0.31,116.45,7,4,8,0,0.928571429,1,21,14,14,4,1,0,2,0,0,124.0432149,0,73.2352,8,5.545238095,12.35009807,7.508421302,63
0.929418926,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,64
0.899820502,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.505925244,65
-2.200659451,464.2807747,2.5407,127.45,8,5,17,0,0.956521739,1,31,23,23,5,1,0,1,1,0,191.1314925,0,122.934,14,4.111290323,20.06355571,13.04162516,66
-1.943095149,956.8044204,17.2254,108.36,8,1,50,0,0.85,1,68,60,60,1,3,0,4,0,0,418.9291765,0,284.8218,18,1.593529412,44.69115269,29.21536765,67
-1.484126156,578.4029981,3.0528,155.14,10,5,30,0,0.9,0,40,30,30,5,1,0,4,0,0,241.2198411,0,153.981,18,3.8785,24.79776023,15.25447397,68
-1.562249437,726.4765569,1.8078,214.06,14,7,38,0,0.916666667,0,50,36,36,7,1,0,6,0,0,299.2250517,0,187.6326,18,4.2812,30.49181167,18.55856545,69
-1.675717545,1022.623675,-0.6822,331.9,22,11,54,0,0.9375,0,70,48,48,11,1,0,10,0,0,415.235473,0,254.9358,18,4.741428571,41.87991454,25.16674841,70
-1.578396073,428.3137891,4.0486,96.22,6,3,18,0,0.875,1,30,24,24,3,1,0,2,0,0,182.2087993,0,118.1714,18,3.207333333,18.84419577,12.02288416,71
-1.499999995,459.3559883,2.9182,121.46,6,5,21,0,0.88,0,32,25,25,5,1,0,0,0,1,194.7007833,0,128.202,18,3.795625,20.36933998,12.59405575,72
-1.300000003,621.4088117,0.7424,200.61,11,8,24,0,0.903225806,1,43,31,31,8,1,0,2,0,1,256.4943965,0,160.8354,18,4.665348837,26.12133547,16.11107196,73
1.311251729,335.2307878,-0.3687,121.46,6,5,13,0,0.9375,0,23,16,16,5,1,0,0,0,1,138.1059073,0,86.743,9,5.280869565,14.26489197,8.417352382,74
0.622214023,292.1885886,0.3552,107.22,6,4,12,0,0.928571429,0,20,14,14,4,1,0,1,0,0,119.9355009,0,74.0582,9,5.361,12.2013628,7.33157128,75
0.255272505,292.1885886,0.3552,107.22,6,4,12,0,0.928571429,0,20,14,14,4,1,0,1,0,0,119.9355009,0,74.0582,9,5.361,12.2013628,7.33157128,76
0.653212514,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.467920441,77
0.699837726,320.2198887,0.942,99.38,6,4,10,0,1.0,1,22,16,16,4,0,0,2,0,0,132.6115771,0,82.3072,10,4.517272727,13.72630683,8.467920441,78
0.36078269,188.17763,2.4803,40.46,2,2,9,0,1.0,0,13,11,11,2,0,0,0,0,0,81.97713968,0,55.7026,11,3.112307692,8.835738491,5.598030018,79
0.36078269,174.1619799,2.0902,40.46,2,2,8,0,1.0,0,12,10,10,2,0,0,0,0,0,75.61219756,0,51.0856,10,3.371666667,8.12863171,5.098030018,80
-1.045757491,649.4037263,0.7808,207.63,12,8,23,0,0.90625,2,45,32,32,7,1,0,4,0,1,267.0763927,0,164.8143,18,4.614,26.82786191,16.86337181,81
-2.292429824,622.3564418,0.5128,215.83,13,8,21,0,0.9,2,43,30,30,8,1,0,4,0,0,253.59088,0,153.1284,18,5.019302326,25.33591792,15.76450828,82
-1.494850022,459.3559883,2.9182,121.46,6,5,21,0,0.88,0,32,25,25,5,1,0,0,0,1,194.7007833,0,128.202,18,3.795625,20.36933998,12.59405575,83
-1.26760624,621.4088117,0.7424,200.61,11,8,24,0,0.903225806,1,43,31,31,8,1,0,2,0,1,256.4943965,0,160.8354,18,4.665348837,26.12133547,16.11107196,84
-1.698970004,592.3822626,1.6646,178.53,11,7,21,0,0.933333333,2,41,30,30,7,0,0,4,0,0,244.6351242,0,151.8046,18,4.354390244,24.71250684,15.70214088,85
-1.37675071,754.435086,-0.5112,257.68,16,10,24,0,0.944444444,3,52,36,36,10,0,0,6,0,0,306.4287374,0,184.438,18,4.955384615,30.46450234,19.21915709,86
-1.013228266,297.1940083,2.518,72.47,4,1,11,0,0.8125,1,21,16,16,0,3,0,1,0,1,126.3555253,0,79.7407,12,3.450952381,12.98851802,8.108537228,87
0.813233062,349.2464378,0.0214,121.46,6,5,14,0,0.941176471,0,24,17,17,5,1,0,0,0,1,144.4708494,0,91.36,10,5.060833333,14.97199875,8.917352382,88
0.51851394,511.2992613,-2.1544,200.61,11,8,17,0,0.956521739,1,35,23,23,8,1,0,2,0,1,206.2644626,0,123.9934,10,5.731714286,20.72399425,12.43436859,89
0.278753601,306.2042387,0.7453,107.22,6,4,13,0,0.933333333,0,21,15,15,4,1,0,1,0,0,126.300443,0,78.6752,10,5.105714286,12.90846958,7.83157128,90
-0.749579998,202.1932801,2.8704,40.46,2,2,10,0,1.0,0,14,12,12,2,0,0,0,0,0,88.34208179,0,60.3196,12,2.89,9.542845272,6.098030018,91
-0.443697499,347.2671733,1.4407,101.23,5,4,15,0,0.944444444,0,24,18,18,4,1,0,0,0,1,146.0415578,0,94.5872,12,4.217916667,15.36164845,9.325820159,92
-0.346787486,539.3305614,-1.3742,200.61,11,8,19,0,0.96,1,37,25,25,8,1,0,2,0,1,218.9943469,0,133.2274,12,5.421891892,22.13820781,13.43436859,93
-0.638272164,287.2460439,2.7189,60.77,3,2,13,0,0.9375,0,20,16,16,2,1,0,0,0,1,123.723206,0,82.5736,12,3.0385,13.31252072,8.142755713,94
-0.578396073,287.2460439,2.7205,60.77,3,2,14,0,0.9375,0,20,16,16,2,1,0,0,0,1,123.723206,0,82.5956,12,3.0385,13.14938401,8.253302179,95
-2.397940009,283.2147438,3.339,55.4,3,1,11,0,0.875,1,20,16,16,0,2,0,1,0,1,122.1940032,0,79.3507,12,2.77,12.78737651,8.197306302,96
-0.369572125,526.2989269,-1.2894,206.6,12,8,19,0,0.958333333,1,36,24,24,8,1,0,3,0,0,211.9831163,0,126.5494,12,5.738888889,21.0992425,12.94011971,97
-1.402304814,496.3247477,0.9362,155.14,10,5,25,0,0.958333333,0,34,24,24,5,1,0,4,0,0,203.7197914,0,126.373,12,4.562941176,20.81463257,12.60464405,98
-1.446116973,644.3983066,-0.3088,214.06,14,7,33,0,0.966666667,0,44,30,30,7,1,0,6,0,0,261.7250021,0,160.0246,12,4.865,26.508684,15.90873553,99
-1.549750892,940.5454243,-2.7988,331.9,22,11,49,0,0.976190476,0,64,42,42,11,1,0,10,0,0,377.7354234,0,227.3278,12,5.1859375,37.89678687,22.51691849,100
-0.469800302,510.2676268,-0.9663,195.6,12,7,15,0,0.956521739,2,35,23,23,7,1,0,4,0,0,204.9316545,0,119.4916,12,5.588571429,20.27582015,12.52453885,101
-0.369572125,524.2832768,-0.9254,195.6,12,7,15,0,0.958333333,2,36,24,24,7,1,0,4,0,0,211.2965966,0,124.3366,12,5.433333333,20.93052069,13.02038151,102
-0.337242168,524.2832768,-0.9238,195.6,12,7,16,0,0.958333333,2,36,24,24,7,1,0,4,0,0,211.2965966,0,124.3586,12,5.433333333,20.98292693,12.99081602,103
-0.48148606,524.2832768,-0.9254,195.6,12,7,15,0,0.958333333,2,36,24,24,7,1,0,4,0,0,211.2965966,0,124.3366,12,5.433333333,20.93052069,13.02038151,104
-0.022276395,686.3361003,-3.0996,274.75,17,10,19,0,0.966666667,3,47,30,30,10,1,0,6,0,0,273.0902099,0,156.992,12,5.845744681,26.73492242,16.50277622,105
0.361727836,848.3889237,-5.2754,353.9,22,13,22,0,0.972222222,4,58,36,36,13,1,0,8,0,0,334.8838231,0,189.6254,12,6.101724138,32.48691792,20.01473643,106
-1.440093375,346.2355388,1.932,96.22,6,3,13,0,0.944444444,1,24,18,18,3,1,0,2,0,0,144.7087496,0,90.5634,12,4.009166667,14.86106811,9.373054242,107
-0.638272164,362.2304534,1.2504,116.45,7,4,12,0,0.944444444,1,25,18,18,4,1,0,2,0,0,149.5029834,0,91.7032,12,4.658,15.17852519,9.508421302,108
-0.590066877,289.261694,2.5123,63.93,4,3,15,0,1.0,0,20,16,16,3,0,0,0,0,1,124.3559177,0,83.5954,12,3.1965,13.26569959,8.396663915,109
-0.400116928,405.3454236,3.8537,60.39,6,1,23,0,1.0,0,28,22,22,1,0,0,4,0,1,173.4112838,0,114.8138,12,2.156785714,18.83269268,11.31275577,110
-0.289882635,493.3978531,3.8869,78.85,8,1,29,0,1.0,0,34,26,26,1,0,0,6,0,1,209.0981427,0,136.4518,12,2.319117647,22.47761639,13.46745631,111
-0.610833916,581.4502826,3.9201,97.31,10,1,35,0,1.0,0,40,30,30,1,0,0,8,0,1,244.7850016,0,158.0898,12,2.43275,26.12254009,15.62215685,112
-1.22184875,1068.801186,7.4494,191.84,16,2,65,0,0.964285714,0,74,56,56,2,2,0,12,0,2,449.6047891,0,290.0816,13,2.592432432,47.27388307,29.30235206,113
-0.292429824,389.3141235,3.4557,77.02,5,2,22,0,0.952380952,0,27,21,21,1,1,0,3,0,1,165.884347,0,109.0135,13,2.852592593,17.5152356,10.91661628,114
-0.187086643,521.3927677,3.5055,104.71,8,2,31,0,0.962962963,0,36,27,27,1,1,0,6,0,1,219.4146354,0,141.4705,13,2.908611111,22.98262116,14.14866709,115
-0.124938737,653.471412,3.5553,132.4,11,2,40,0,0.96969697,0,45,33,33,1,1,0,9,0,1,272.9449238,0,173.9275,13,2.942222222,28.45000672,17.3807179,116
