Dim1,Dim2,Index
1.2234427,-6.5027366,0
7.703943,5.139842,1
11.16869,3.795334,2
9.869265,3.3356314,3
11.892251,3.9740663,4
-3.5053923,-3.2802567,5
6.4279537,3.9785817,6
6.357372,4.007889,7
6.3432307,3.9681704,8
12.968727,4.28153,9
9.433357,3.1109002,10
-9.35926,4.1581755,11
-8.543709,4.5664597,12
-9.867681,3.8600569,13
-9.818584,3.8332484,14
6.4854503,5.050566,15
6.575501,5.2135563,16
7.5360823,5.5025234,17
10.985529,3.7199302,18
6.655928,5.206956,19
-13.927789,-1.388827,20
-13.732313,-1.0681391,21
-13.409187,-0.5431578,22
-11.810795,1.8287339,23
-9.906254,3.6336813,24
-9.129685,4.1376953,25
-8.385964,4.6365504,26
-8.322709,4.663721,27
6.8982143,5.272239,28
10.618359,3.640995,29
7.195674,5.2279916,30
-0.08371162,-5.323664,31
0.12564282,-5.486574,32
-0.030875102,-5.342169,33
-0.23926654,-5.191409,34
0.025669761,-5.4006743,35
-3.7845554,-3.3025324,36
-11.950155,1.7008178,37
-13.812431,-1.1958598,38
-13.093667,-0.06029929,39
-13.93941,-1.4609491,40
-13.494957,-0.66283035,41
-12.133369,1.4426697,42
-9.682257,3.8433783,43
-8.9631815,4.298413,44
-8.299164,4.6422596,45
9.455606,4.186836,46
-13.69017,-0.9924822,47
-12.759713,0.47506583,48
-10.989746,2.63735,49
-8.358799,4.65154,50
10.800951,3.5232093,51
6.4628735,5.0691376,52
7.236696,5.4284263,53
-3.5616195,-2.9651806,54
-13.730975,-1.0821939,55
-8.344322,4.655479,56
-8.155825,4.713372,57
-10.3937,3.2283607,58
1.1212016,-6.401657,59
1.1291326,-6.4135547,60
-4.4065742,-2.9134061,61
-2.4292445,-3.8015475,62
-2.4260426,-4.3561587,63
-4.9120507,-2.747615,64
1.1889496,-6.468258,65
-4.2520337,-2.7454896,66
10.821572,3.8001406,67
-1.8366755,-3.969934,68
-1.5917029,-3.9924157,69
-12.160654,1.3923626,70
-10.004468,3.5833957,71
9.3954735,4.046794,72
12.890601,4.2592626,73
12.634543,4.177384,74
9.924892,3.1057942,75
13.465033,4.450709,76
-3.8193276,-3.428492,77
-11.989023,1.658596,78
-2.7214627,-1.2948452,79
-2.581932,-0.7854126,80
-2.8762202,-1.7353219,81
-2.7846308,-2.889305,82
-2.9282725,-2.1654143,83
-2.6372032,-1.2561733,84
-2.590739,-1.1029152,85
6.1643796,4.2304864,86
0.5330601,-5.869687,87
5.5963087,-14.077502,88
5.595829,-14.077892,89
5.5930395,-14.080325,90
5.5944633,-14.080502,91
5.5969896,-14.080449,92
5.5961924,-14.072165,93
8.338639,0.9119986,94
8.547075,1.2775162,95
8.613039,1.4258448,96
8.979613,2.0596368,97
8.874014,1.9364662,98
9.9488325,2.8778207,99
12.935093,4.2740154,100
8.585979,1.80154,101
5.594785,-14.0831375,102
1.1249163,-6.4093666,103
-13.800735,-1.1768736,104
12.78206,4.208462,105
