Dim1,Dim2,Index
-1.1034535,-10.544888,0
5.770027,5.523874,1
9.975006,6.402407,2
8.569234,5.1607842,3
10.462345,6.810621,4
-2.766269,-4.5669494,5
5.7896037,4.302321,6
5.586406,4.569475,7
5.8194957,4.1229606,8
11.360935,7.588555,9
8.04364,5.251471,10
-7.796407,-0.08822823,11
-6.462849,-0.3865107,12
-8.356419,0.033817273,13
-8.787948,0.06594218,14
4.175803,5.4379187,15
4.0157847,5.7756734,16
4.977495,5.707027,17
9.931846,6.291453,18
4.4050264,5.7304378,19
-14.719844,-2.46344,20
-14.49817,-2.3188362,21
-13.9745245,-1.9708015,22
-11.293656,-0.5641631,23
-9.135192,0.030078018,24
-8.263149,-0.027670134,25
-6.7745476,-0.26482517,26
-6.112852,-0.48853847,27
4.507245,5.756883,28
9.531444,5.9075274,29
5.0717854,5.5986953,30
-1.7612737,-8.443045,31
-1.7229023,-8.572191,32
-1.75574,-8.466363,33
-1.7887775,-8.363587,34
-1.7399068,-8.527243,35
-2.4954946,-4.964532,36
-11.472419,-0.6246331,37
-14.44576,-2.2740517,38
-13.783521,-1.8567724,39
-14.591733,-2.368529,40
-14.216335,-2.1177347,41
-11.923635,-0.79996973,42
-8.692674,0.03684338,43
-7.3669477,-0.13933516,44
-5.9075155,-0.692646,45
7.2723813,5.467253,46
-14.327188,-2.2065291,47
-13.242413,-1.5367686,48
-10.061561,-0.19146332,49
-6.2877455,-0.4344539,50
9.638019,5.9814363,51
4.2878976,5.624936,52
4.8290825,5.881131,53
-2.8284464,-4.469904,54
-14.072248,-2.008582,55
-6.4201055,-0.37369058,56
-5.9358244,-0.6630429,57
-9.480706,-0.016231311,58
-1.0890225,-10.584442,59
-1.1266803,-10.467866,60
-2.6911128,-4.6765637,61
-2.3631938,-6.0689135,62
-2.2764292,-6.75868,63
-2.8916276,-4.4043994,64
-1.0867628,-10.5919285,65
-3.0120556,-4.197584,66
9.681723,6.2581973,67
-2.1977944,-6.967917,68
-2.3715672,-6.559185,69
-11.988319,-0.8535284,70
-9.164108,0.03690971,71
7.589864,5.473935,72
11.35282,7.5911503,73
11.012049,7.2911777,74
8.73731,5.6070952,75
11.846785,8.012268,76
-2.5194886,-5.011345,77
-11.686518,-0.6989849,78
-4.0296106,-2.8562725,79
-4.7340493,-2.0136664,80
-3.580361,-3.5027926,81
-2.8308904,-4.761751,82
-3.2972302,-3.9654965,83
-3.9696963,-2.9507992,84
-4.089966,-2.7573214,85
5.1816096,4.59202,86
-1.4965113,-9.293802,87
9.998343,0.9831958,88
9.970148,1.0643686,89
10.018289,0.9469174,90
10.134021,0.676634,91
9.945814,1.0994068,92
9.709399,1.6388506,93
9.429098,2.2441392,94
8.845136,3.4598665,95
8.77102,3.5809553,96
8.5374365,4.343492,97
8.66754,4.1092243,98
8.8663435,5.1978345,99
11.361406,7.5922365,100
8.515723,3.881214,101
10.076058,0.832014,102
-1.0718296,-10.645342,103
-14.434836,-2.2664266,104
11.3198805,7.554327,105
