Feature,Importance
HBD,0.22331966694820748
NumOH,0.11175252344969595
NumAmines,0.07543274617308877
PolarRatio,0.0643899058729661
NumCarbonyls,0.05081863537563981
LongestAliphaticChain,0.048146658120053046
CarbonCount,0.03820765731255559
NumEthers,0.037699202952363446
LogP,0.036302741954836244
TPSA,0.03454034406493641
RotBonds,0.03398776961613224
Chi0v,0.03168713335802164
FractionCSP3,0.029581163927250766
Chi1v,0.028763635934056214
LabuteASA,0.027872429343821916
MolMR,0.024018539108075943
MW,0.022266643308411185
HeavyAtomCount,0.01722107152182518
HBA,0.016398769154229977
NumAromRings,0.015412829745356984
AliphaticCarbonCount,0.012296906703479191
NumRings,0.011452878696478153
NumChargedAtoms,0.007765122727976024
NumCarboxyls,0.000665024630541872
NumSulfurs,0.0
