Feature,Importance
NumChargedAtoms,0.22759648020969858
FractionCSP3,0.15696453549579076
LogP,0.09654382197460291
LongestAliphaticChain,0.07845813266607166
NumRings,0.07278770689364081
HBD,0.07246780719075534
NumOH,0.04579969063615776
NumAromRings,0.04474695897878538
Chi1v,0.03121260649968759
PolarRatio,0.030201947156878396
HeavyAtomCount,0.02093308202155626
AliphaticCarbonCount,0.017572768618058895
MolMR,0.017544803658858917
Chi0v,0.015928978477630973
HBA,0.013233418409051356
LabuteASA,0.012306666650805976
CarbonCount,0.008628707505455656
TPSA,0.007874159271917723
NumCarbonyls,0.006617328691979058
NumEthers,0.006422323182144346
RotBonds,0.005685844371473562
MW,0.0053893990171826325
NumCarboxyls,0.0038960192350022856
NumAmines,0.0011868131868131866
NumSulfurs,0.0
