Dim1,Dim2,ID,Label,Target
-0.7050033,-16.278719,1,0,-0.886056648
-0.7230881,-16.292528,2,0,-1.013228266
-0.80961615,-16.332464,3,0,-0.886056648
-0.027505038,-16.061913,4,0,-0.823908741
0.475844,-15.888408,5,0,-0.677780705
1.1211765,-15.664826,6,0,-0.602059991
1.6973052,-15.468058,7,0,-0.552841969
1.9732593,-15.374616,8,0,-0.522878745
2.0341554,-15.356102,9,0,-0.48148606
-5.14099,5.923038,10,1,-1.669586227
-5.460498,5.800926,11,1,-2.314258261
-5.567828,5.6868434,12,1,-2.431798276
-5.468113,5.763739,13,1,-1.517126416
-5.4694633,5.766312,14,1,-1.995678626
-5.475991,5.7582154,15,1,-2.22184875
-4.8014355,6.1102233,16,1,-1.473660723
11.811401,5.7939715,17,2,-1.707743929
-4.863439,6.12273,18,1,-2.387216143
-4.881411,6.0449834,19,1,-2.036212173
11.723035,5.9309907,20,2,-1.525783736
-3.192798,7.2176127,21,1,0.602059991
11.87654,5.685974,22,2,0.72427587
11.935928,5.8872647,23,2,0.699404082
-3.1548045,7.428068,24,1,0.602059991
11.89598,5.6622453,25,2,0.72427587
11.906067,5.918826,26,2,0.698970004
-0.4443248,-5.809437,27,1,2.949877704
14.498497,4.6667323,28,-1,0.462397998
14.591157,4.6215467,29,-1,0.146128036
-0.25801724,-5.534827,30,1,1.980003372
-0.015023401,8.75882,31,1,2.079181246
0.14198518,-4.9257116,32,1,1.330413773
-0.09535901,-5.242636,33,1,1.330413773
0.010084221,8.83571,34,1,2.089905111
-0.023316473,8.730401,35,1,1.762678564
0.344794,-4.6093035,36,1,0.450249108
1.4225144,-3.2683725,37,1,0.469822016
-1.1217365,2.8813632,38,1,0.336459734
-0.006496619,8.704996,39,1,1.782114148
-0.031622354,8.698491,40,1,1.0
-15.484411,-1.1018387,41,-1,1.176091259
-15.481702,-1.1056275,42,-1,1.198657087
-0.09767528,8.486034,43,1,1.0
-0.08053905,8.587872,44,1,1.255272505
-15.482894,-1.1062126,45,-1,1.079181246
-15.48264,-1.1089897,46,-1,1.100370545
-1.3809112,4.7548223,47,1,1.819858798
-1.4704592,4.9306026,48,1,1.653212514
-1.4733406,4.951295,49,1,1.84509804
-0.1665633,8.372809,50,1,1.278753601
9.774091,9.192136,51,2,0.439332694
1.3757504,2.5409412,52,1,-0.349692477
1.4038765,2.708417,53,1,-0.349692477
1.2086375,2.5988426,54,1,-0.349692477
2.2985902,0.81607205,55,1,-0.286509457
2.262285,0.89696413,56,1,-0.286509457
2.1996152,0.90503746,57,1,-0.286509457
2.4519963,0.74851155,58,1,0.667452953
2.472464,0.7261538,59,1,0.667452953
2.4499102,0.7363238,60,1,0.667452953
9.942609,9.171737,61,2,0.419955748
-0.16421363,8.366534,62,1,0.643452676
-1.4189813,5.603628,63,1,0.204119983
-15.478917,-1.1055831,64,-1,0.929418926
-15.482189,-1.1057489,65,-1,0.899820502
-11.029614,-12.617225,66,3,-2.200659451
2.5133991,0.6749649,67,1,-1.943095149
0.4359762,3.466924,68,1,-1.484126156
0.9584705,2.9512715,69,1,-1.562249437
1.7016039,1.861591,70,1,-1.675717545
-0.7266478,4.513946,71,1,-1.578396073
-0.5068912,3.9267461,72,1,-1.499999995
10.290054,7.7745504,73,2,-1.300000003
-1.4159783,4.8029766,74,1,1.311251729
-0.20066154,8.285676,75,1,0.622214023
-0.21309008,8.262071,76,1,0.255272505
-15.482007,-1.1073565,77,-1,0.653212514
-15.484363,-1.1061683,78,-1,0.699837726
-2.7715864,-6.272624,79,1,0.36078269
-2.6006968,-6.1969876,80,1,0.36078269
10.415466,7.6525664,81,2,-1.045757491
10.721537,7.355316,82,2,-2.292429824
-0.5412739,3.6810308,83,1,-1.494850022
10.200403,7.996342,84,2,-1.26760624
11.069589,6.9078364,85,2,-1.698970004
11.862109,5.9915886,86,2,-1.37675071
-1.1721462,2.7788854,87,1,-1.013228266
-1.4217329,4.689591,88,1,0.813233062
9.553377,9.158871,89,2,0.51851394
-0.3616964,7.8912296,90,1,0.278753601
-2.2899222,-6.066913,91,1,-0.749579998
-1.2063148,4.0138454,92,1,-0.443697499
9.70167,8.926127,93,2,-0.346787486
-1.1299546,3.0699396,94,1,-0.638272164
-1.180423,3.1447875,95,1,-0.578396073
-1.1290613,2.787016,96,1,-2.397940009
10.110061,9.125992,97,2,-0.369572125
1.0305426,3.0103037,98,1,-1.402304814
1.259983,2.7414832,99,1,-1.446116973
2.2071292,1.0021406,100,1,-1.549750892
10.030789,9.143178,101,2,-0.469800302
10.031069,9.126928,102,2,-0.369572125
10.059876,9.064501,103,2,-0.337242168
10.009456,9.225173,104,2,-0.48148606
11.867148,5.984617,105,2,-0.022276395
11.9941225,5.887823,106,2,0.361727836
-1.2272137,5.3155546,107,1,-1.440093375
-1.1700327,5.996116,108,1,-0.638272164
-0.8528453,2.8251965,109,1,-0.590066877
0.24168712,1.6701432,110,1,-0.400116928
0.3779063,1.5790017,111,1,-0.289882635
0.76093,1.3721412,112,1,-0.610833916
2.412778,0.7451123,113,1,-1.22184875
-1.1661166,3.0805995,114,1,-0.292429824
0.5739862,1.5499421,115,1,-0.187086643
1.1657753,1.497093,116,1,-0.124938737
-1.6194733,-5.7887187,117,1,-1.886056648
-0.32777098,2.899305,118,1,-3.004364805
-0.62143093,3.4437373,119,1,-2.302770657
-0.52202076,3.2123656,120,1,-2.235077015
9.812435,8.759489,121,2,-1.167491087
-1.1871196,-5.5703444,122,1,-1.88941029
-0.630312,3.4707558,123,1,-2.30980392
-0.63701737,3.247378,124,1,-2.22184875
-0.91366035,2.9131045,125,1,-3.795880017
10.502734,7.68675,126,2,-2.119758224
10.534171,7.776505,127,2,-2.019996628
-0.7654364,5.037212,128,1,-0.853871964
0.5984034,3.4075413,129,1,-1.649751982
1.0019914,2.8919513,130,1,-1.552841969
