,1. SOM1,2. SOM2,3. SOM3,4. SOM4,5. SOM5,6. SOM6,7. SOM7,8. SOM8,9. SOM9,10. SOM10,11. SOM11,12. SOM12,13. SOM13,14. SOM14,15. SOM15,16. SOM16,17. SOM17,18. SOM18,19. SOM19,20. SOM20,21. SOM21,22. SOM22,23. SOM23,24. SOM24,25. SOM25
0,-0.6568230000000002,-0.3399600000000001,-0.5900159999999999,-0.7067970000000001,0.502107,-0.7852950000000001,-0.17093,0.13590100000000013,0.02061900000000001,-0.6415940000000001,-0.591448,-0.652839,1.1915810000000002,0.272455,-0.11012499999999999,-0.779851,0.0,-0.209775,-0.649597,-0.3077940000000001,-0.6322880000000001,0.48527300000000007,2.263250000000001,-0.657479,-0.6474160000000001
1,-0.6429780000000002,-0.35967100000000013,-0.5871099999999999,-0.6865980000000002,0.437387,-0.7712740000000001,-0.17093,0.21703600000000015,0.09118100000000003,-0.6280230000000001,-0.580503,-0.639077,1.0625330000000002,0.180146,-0.11012499999999999,-0.742732,0.0,-0.214584,-0.636376,-0.3077940000000001,-0.6214740000000001,0.30783600000000005,1.9437150000000007,-0.645505,-0.6340720000000001
2,-0.5963100000000001,-0.4260970000000001,-0.5773289999999999,-0.6185140000000001,0.21915199999999999,-0.7240040000000001,-0.17093,0.49055800000000016,0.3289770000000001,-0.5822810000000002,-0.543615,-0.592695,0.6273860000000001,-0.13105,-0.11012499999999999,-0.617602,0.0,-0.230798,-0.591813,-0.3077940000000001,-0.5850230000000001,-0.29032300000000005,0.8663250000000008,-0.605144,-0.5890950000000001
3,-0.5849590000000001,-0.44199300000000014,-0.5752329999999999,-0.6019380000000001,0.16446399999999997,-0.7122380000000001,-0.17093,0.5578620000000002,0.38581000000000004,-0.5711660000000001,-0.534661,-0.581437,0.5183190000000001,-0.207623,-0.11012499999999999,-0.586861,0.0,-0.234787,-0.580971,-0.3077940000000001,-0.5761330000000001,-0.43702700000000005,0.5981110000000007,-0.595294,-0.5781700000000001
4,-0.5866670000000002,-0.43327300000000013,-0.5812569999999999,-0.6042020000000001,0.13986999999999997,-0.7082120000000001,-0.17093,0.5618770000000002,0.35296600000000006,-0.5730900000000001,-0.536407,-0.583632,0.46880700000000003,-0.212192,-0.11012499999999999,-0.585511,0.0,-0.235025,-0.582543,-0.3077940000000001,-0.5768890000000001,-0.4356940000000001,0.5171230000000008,-0.595995,-0.5801700000000001
5,-0.6043470000000001,-0.3411050000000001,-0.6342119999999999,-0.6288450000000001,-0.06542000000000003,-0.6727870000000001,-0.17093,0.5620720000000002,0.004670000000000009,-0.5928680000000001,-0.553911,-0.605642,0.05492899999999999,-0.212414,-0.11012499999999999,-0.583475,0.0,-0.235037,-0.598791,-0.3077940000000001,-0.5844620000000001,-0.34544600000000003,-0.08743499999999926,-0.602706,-0.6009670000000001
6,-0.6055480000000001,-0.2920370000000001,-0.6530689999999999,-0.6316450000000001,-0.17717900000000003,-0.6478850000000002,-0.17093,0.5620760000000002,-0.18517000000000003,-0.5954640000000001,-0.556354,-0.608713,-0.17038800000000004,-0.212418,-0.11012499999999999,-0.57174,0.0,-0.235037,-0.599479,-0.3077930000000001,-0.5808910000000002,-0.30590400000000006,-0.3828589999999993,-0.597252,-0.6047540000000001
7,-0.5975460000000001,-0.2898580000000001,-0.6443529999999998,-0.6216250000000001,-0.18191600000000002,-0.6388300000000001,-0.17093,0.5620760000000002,-0.19321500000000003,-0.5877620000000001,-0.549679,-0.60032,-0.17993900000000002,-0.212418,-0.11012499999999999,-0.561168,0.0,-0.235037,-0.591711,-0.3077830000000001,-0.5733670000000001,-0.3063040000000001,-0.3650819999999993,-0.588869,-0.5973690000000001
8,-0.5834040000000001,-0.2850640000000001,-0.6276809999999999,-0.6038810000000001,-0.18213200000000002,-0.6147160000000002,-0.17093,0.5620760000000002,-0.19339100000000004,-0.5740530000000001,-0.537781,-0.58536,-0.18037400000000003,-0.212418,-0.11012499999999999,-0.543871,0.0,-0.235037,-0.578002,-0.3066220000000001,-0.5603330000000001,-0.28216500000000005,-0.3176949999999993,-0.57662,-0.5828150000000001
9,-0.5653390000000001,-0.2787710000000001,-0.6053039999999998,-0.5816460000000001,-0.18700500000000003,-0.5812630000000001,-0.17093,0.5620760000000002,-0.19339400000000004,-0.5570180000000001,-0.523674,-0.567622,-0.19019700000000003,-0.212418,-0.11012499999999999,-0.52354,0.0,-0.235037,-0.560082,-0.2562850000000001,-0.5442570000000001,-0.24228200000000003,-0.23320599999999927,-0.561285,-0.5632780000000001
10,-0.5450040000000002,-0.3019110000000001,-0.5620509999999999,-0.5634170000000001,-0.271394,-0.5731080000000001,-0.170928,0.5620630000000002,-0.19339200000000004,-0.5458210000000001,-0.526154,-0.570742,-0.36033300000000007,-0.212418,-0.11012499999999999,-0.527105,0.0,-0.235037,-0.5331,0.6157760000000001,-0.5363240000000001,-0.25060200000000005,0.3015390000000007,-0.533686,-0.5350620000000001
11,-0.5074840000000002,-0.3670130000000001,-0.4691599999999999,-0.5347150000000002,-0.484305,-0.5803900000000001,-0.170805,0.5611970000000002,-0.19326900000000002,-0.5309350000000002,-0.544019,-0.59327,-0.7895780000000001,-0.212418,-0.11012499999999999,-0.552852,0.0,-0.235037,-0.47838300000000006,2.8159460000000003,-0.5290620000000001,-0.30708300000000005,1.6066730000000007,-0.475092,-0.4786360000000001
12,-0.4988570000000001,-0.38063000000000013,-0.45026699999999986,-0.5273120000000001,-0.523776,-0.5803400000000001,-0.168135,0.5423750000000003,-0.19059800000000002,-0.5262880000000001,-0.545385,-0.596405,-0.8691570000000001,-0.212418,-0.11012499999999999,-0.556092,0.0,-0.235037,-0.46668600000000005,3.2238380000000006,-0.5260690000000001,-0.31787600000000005,1.8370720000000007,-0.462779,-0.4671630000000001
13,-0.4698430000000001,-0.4050740000000001,-0.4203039999999999,-0.49132900000000007,-0.52602,-0.5541010000000001,-0.125875,0.24437700000000015,-0.14832000000000004,-0.4941050000000001,-0.512842,-0.577943,-0.8736810000000002,-0.212418,-0.11012499999999999,-0.529518,0.0,-0.235037,-0.43942300000000006,3.2470270000000006,-0.4979030000000001,-0.31850100000000003,1.6723210000000006,-0.437451,-0.4483320000000001
14,-0.3794490000000001,-0.4802500000000001,-0.3287179999999999,-0.37862200000000007,-0.526184,-0.4710260000000001,0.007671,-0.698798,-0.014718999999999993,-0.3929470000000001,-0.40946800000000005,-0.518925,-0.8740110000000001,-0.212418,-0.11012499999999999,-0.444807,0.0,-0.235037,-0.35512900000000003,3.2487220000000003,-0.4091990000000001,-0.3183750000000001,1.1094510000000006,-0.359404,-0.3907660000000001
15,-0.3632140000000001,-0.4970090000000001,-0.3124629999999999,-0.3577930000000001,-0.526203,-0.45697300000000013,0.035038,-0.926758,0.01265900000000001,-0.3741550000000001,-0.38979500000000006,-0.50873,-0.8740490000000001,-0.212418,-0.11012499999999999,-0.430475,0.0,-0.235037,-0.3402220000000001,3.2489140000000005,-0.3931060000000001,-0.3137190000000001,0.9975410000000008,-0.345889,-0.3820830000000001
16,-0.43194300000000013,-0.4883450000000001,-0.38490999999999986,-0.43478300000000003,-0.526202,-0.5330880000000001,-0.016271,-1.0800250000000002,-0.03867,-0.44182100000000013,-0.45199700000000004,-0.559677,-0.8740470000000001,-0.212418,-0.11012499999999999,-0.508088,0.0,-0.235037,-0.40774000000000005,3.2489160000000004,-0.45817000000000013,-0.24498100000000003,1.2666920000000006,-0.412652,-0.4504330000000001
