Cluster Labels
0
0
0
0
0
0
0
0
0
1
1
1
1
1
1
1
2
1
1
2
1
2
2
1
2
2
3
4
4
3
5
3
3
5
5
3
3
1
5
5
6
6
5
5
6
6
1
1
1
5
2
1
1
1
1
1
1
1
1
1
2
5
1
6
6
7
1
1
1
1
1
1
2
1
5
5
6
6
3
3
2
2
1
2
2
2
1
1
2
5
3
1
2
1
1
1
2
1
1
1
2
2
2
2
2
2
1
1
1
1
1
1
1
1
1
1
3
1
1
1
2
3
1
1
1
2
2
1
1
1
2
1
2
2
1
3
3
3
1
1
1
3
1
2
3
3
3
3
1
2
1
4
4
4
2
1
2
1
1
2
1
1
3
3
3
3
3
3
3
3
1
1
1
0
3
3
8
1
2
2
1
2
1
2
3
3
3
3
3
3
8
1
1
1
1
3
7
7
1
1
1
8
8
4
4
2
3
1
9
9
1
8
3
9
1
3
3
3
3
3
3
3
8
9
9
9
3
3
3
3
7
7
7
7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
8
8
2
8
3
3
3
3
8
3
3
3
3
7
7
7
8
8
7
7
8
3
3
8
7
7
7
7
7
7
2
