,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4
MolMR,196.08906363636362,477.9946431818182,113.00358888888888,153.77301875,320.61542499999996
LongestAliphaticChain,6.636363636363637,14.431818181818182,9.777777777777779,11.65625,16.25
MW,769.5561849999999,1824.600945290909,437.6054662888889,571.7420295281249,1230.5994768750002
RotBonds,36.63636363636363,106.5,21.0,34.875,81.25
LabuteASA,329.7711973363637,758.1647397090909,182.0867888444444,239.939505896875,509.7593858
AliphaticCarbonCount,26.727272727272727,83.81818181818181,21.0,29.59375,61.0
NumChargedAtoms,1.6363636363636365,0.0,0.0,0.0,0.0
TPSA,157.4336363636364,338.99409090909086,97.30222222222224,100.415625,226.75125
