MW,LogP,TPSA,HBA,HBD,RotBonds,NumAromRings,FractionCSP3,NumRings
478.2202826679999,1.7261999999999995,112.91000000000003,9,2,20,2,0.48,2
1565.0266727039993,4.804299999999984,306.35999999999996,32,1,104,0,1.0,0
2445.550967663999,5.136300000000073,490.9600000000003,52,1,164,0,1.0,0
1821.1577464439993,5.899799999999989,360.3500000000001,37,1,118,0,0.9431818181818182,0
2701.6820414039985,6.231800000000137,544.9500000000005,57,1,178,0,0.9609375,0
344.25627425199997,2.5955999999999992,86.99000000000001,5,3,14,0,0.9473684210526315,1
1226.759833768,2.263999999999998,280.81999999999994,26,3,73,0,0.9827586206896551,1
1296.838084088,4.2145000000000055,280.81999999999994,26,3,78,0,0.9841269841269841,1
1308.8380840880002,4.380600000000002,280.81999999999994,26,3,78,0,0.953125,1
4308.5948661280045,3.426000000000134,926.9200000000011,96,3,283,0,0.9949494949494949,1
1837.3287153759993,17.55739999999999,292.9599999999999,28,1,110,0,0.91,1
666.5281985679999,6.380000000000008,103.30000000000003,10,1,37,0,1.0,0
826.63814294,7.206800000000012,130.99000000000004,13,1,46,0,1.0,0
638.4968984399999,5.603000000000008,103.30000000000003,10,1,37,0,1.0,0
624.4812483759998,5.214500000000007,103.30000000000003,10,1,37,0,1.0,0
1122.7852606680003,5.79200000000002,204.82999999999996,21,1,74,0,1.0,0
1136.8009107320001,6.182100000000021,204.82999999999996,21,1,75,0,1.0,0
1356.9319844719998,6.265100000000009,250.9799999999999,26,1,90,0,1.0,0
2457.587353171999,6.680100000000062,481.7300000000003,51,1,165,0,1.0,0
1150.816560796,6.572200000000021,204.82999999999996,21,1,76,0,1.0,0
362.3032244439999,3.9660000000000033,57.150000000000006,5,1,22,0,1.0,0
406.3294391919999,3.9826000000000037,66.38000000000001,6,1,25,0,1.0,0
450.35565393999985,3.999200000000003,75.61000000000001,7,1,28,0,1.0,0
538.4080834359999,4.032400000000004,94.07000000000002,9,1,34,0,1.0,0
582.4342981839999,4.049000000000006,103.30000000000003,10,1,37,0,1.0,0
626.4605129319999,4.065600000000006,112.53000000000003,11,1,40,0,1.0,0
670.48672768,4.082200000000008,121.76000000000003,12,1,43,0,1.0,0
758.539157176,4.115400000000011,140.22000000000003,14,1,49,0,1.0,0
1242.827519404,4.298000000000004,241.74999999999991,25,1,82,0,1.0,0
1991.2731701199987,4.580200000000004,398.66000000000014,42,1,133,0,1.0,0
1368.9319844719996,6.431200000000009,250.9799999999999,26,1,90,0,0.9705882352941176,0
477.2134230759999,0.8399000000000028,123.58000000000001,9,1,21,0,0.8,0
372.158253928,1.3637000000000006,84.89,6,0,16,0,0.75,0
718.357407228,0.9721000000000071,149.50000000000003,13,0,37,1,0.8181818181818182,1
718.357407228,0.9721000000000071,149.50000000000003,13,0,37,1,0.8181818181818182,1
372.158253928,1.3637000000000006,84.89,6,0,16,0,0.75,0
258.21949482,2.7445000000000017,49.69,3,2,13,0,1.0,1
538.4080834359999,4.032400000000004,94.07000000000002,9,1,34,0,1.0,0
378.29813906399994,3.202400000000002,66.38000000000001,6,1,23,0,1.0,0
466.3505685599999,3.235600000000004,84.84000000000002,8,1,29,0,1.0,0
290.245709568,3.0235000000000016,47.92,4,1,15,0,1.0,0
422.3243538119999,3.073300000000002,75.61000000000001,7,1,24,0,1.0,0
524.3924333719998,4.191800000000004,94.07000000000002,9,1,31,0,1.0,0
612.4448628679999,4.225000000000007,112.53000000000003,11,1,37,0,1.0,0
