Dim1,Dim2,ID,Label,Target
-10.667615,-2.3309662,1,0,0.336459734
8.622526,-18.307226,2,1,-1.013228266
-8.688016,-20.307743,3,2,-0.619788758
-10.816672,-2.354655,4,0,0.146128036
3.362533,11.332814,5,-1,-2.036212173
11.022188,4.61698,6,3,-0.48148606
10.139758,-17.396318,7,1,-0.600326279
-12.687125,-4.759613,8,0,1.397940009
4.780518,0.29073942,9,6,-2.678815973
10.493722,-17.186987,10,1,-0.552841969
3.673389,2.2263312,11,4,-0.187086643
2.792387,3.6266048,12,4,-3.004364805
7.216156,2.284389,13,3,-1.22184875
-23.432318,-4.9394803,14,5,-1.698970004
3.3594632,-4.0008507,15,6,0.903089987
10.368539,-17.259563,16,1,-0.549750892
-0.89523745,9.578789,17,7,-0.100179498
10.770348,5.4733396,18,3,-0.369572125
-8.687816,-20.30588,19,2,0.431363764
-10.8418045,-2.3761814,20,0,0.397940009
-8.689058,-20.305948,21,2,1.322219295
-12.053955,-4.5515976,22,0,0.477121255
4.4315443,3.5921347,23,4,-1.484126156
-8.687441,-20.306084,24,2,0.944482672
11.325846,4.3862276,25,3,-0.688246139
10.752445,6.265372,26,3,0.107027631
7.3676996,3.8463266,27,3,-1.562249437
3.4256327,11.405495,28,-1,-1.517126416
2.118128,-5.995196,29,6,2.397940009
2.258283,4.6454434,30,4,-1.609781681
-15.396266,14.534226,31,8,-1.48148606
-23.432661,-4.9393196,32,5,1.255272505
3.4263558,11.409667,33,-1,-2.431798276
-12.192275,-4.006462,34,0,0.740362689
-15.609319,14.902817,35,8,2.255272505
11.109229,4.594002,36,3,-0.369572125
-11.9306345,-5.1404295,37,0,-0.494850022
-11.360903,-3.0939684,38,0,-1.065501549
6.8334527,3.43835,39,3,-1.552841969
9.370092,-17.857918,40,1,-0.823908741
9.266542,4.5244846,41,3,-2.292429824
10.555724,6.1385756,42,3,-0.346787486
4.8617043,2.3210683,43,4,-0.124938737
7.0109816,2.1205227,44,3,0.667452953
-23.43323,-4.9399514,45,5,0.69019608
2.7957444,3.4496663,46,4,-0.292429824
3.446045,-4.117481,47,6,2.025305865
10.071807,-17.438032,48,1,-0.602059991
-11.934571,-5.3428183,49,0,-0.754487332
10.65298,6.151642,50,3,-0.219682688
-12.662076,-4.729353,51,0,1.556302501
11.084815,4.55468,52,3,-0.469800302
