Dim1,Dim2,ID,Label
5.2801757,-10.574889,1,0
0.83884174,6.59085,2,1
9.129605,3.3603163,3,2
8.410185,3.5659285,4,2
9.630136,3.1538744,5,2
-3.4654243,-9.174299,6,3
-2.569984,-8.745992,7,3
-2.4396894,-8.660663,8,3
-2.4394283,-8.636878,9,3
11.27686,2.5728478,10,2
8.857607,3.2850935,11,2
-0.6044569,-8.283985,12,3
-8.854314,3.8022573,13,1
-7.717012,3.9069443,14,1
-7.108767,4.352895,15,1
-9.89635,3.5932117,16,1
-9.98693,3.5838606,17,1
-10.159154,3.5453978,18,1
8.948843,3.3919477,19,2
-10.021126,3.5712047,20,1
-7.7023478,3.691519,21,1
-7.335237,3.9316556,22,1
-6.9696283,4.0415835,23,1
-5.469277,4.5752068,24,1
-5.4087,4.9158673,25,1
-5.4664044,4.9822326,26,1
-5.005493,5.6189904,27,1
-2.839444,6.0674777,28,1
0.5495835,6.6773047,29,1
8.831522,3.5008478,30,2
-10.022092,3.5683043,31,1
6.67665,-11.072428,32,0
6.678242,-11.072597,33,0
6.4919386,-11.004638,34,0
6.6159563,-11.051484,35,0
6.8667965,-11.137627,36,0
-4.536646,-8.7989235,37,3
-4.987081,4.442635,38,1
-6.261536,-8.948964,39,3
-6.3697176,-9.073664,40,3
-6.125311,-9.007358,41,3
-6.2726436,-9.105281,42,3
-4.3410125,4.302042,43,1
-3.5105345,4.8609753,44,1
-3.0603101,5.6063137,45,1
-2.0155084,6.346505,46,1
-7.346351,3.944965,47,1
-5.0579042,4.2405767,48,1
-3.96981,4.610259,49,1
-2.626638,6.023879,50,1
-0.6521957,6.681842,51,1
0.5466648,6.680099,52,1
-3.1692069,-8.997949,53,3
-3.6515474,-9.137029,54,3
-3.1572447,5.7538157,55,1
-2.187843,6.276738,56,1
-4.2427893,4.61249,57,1
5.648585,-10.705022,58,0
5.6363792,-10.699161,59,0
-4.049724,-9.573607,60,3
-0.79393417,-8.209277,61,3
6.6685863,-11.070034,62,0
-3.8679633,-9.465152,63,3
5.7073774,-10.727354,64,0
-3.798621,-9.534927,65,3
9.196444,3.3395762,66,2
-4.1664324,-9.696497,67,3
-4.2821183,-9.706623,68,3
-6.958615,4.159363,69,1
-6.015893,4.8135457,70,1
8.89745,3.4018552,71,2
11.267949,2.5779033,72,2
11.080283,2.6450224,73,2
10.100906,2.9258218,74,2
10.980175,2.6322143,75,2
-5.1480374,-9.482888,76,3
-6.592865,4.3711386,77,1
-0.9106832,-8.157659,78,3
-1.9469956,-8.49358,79,3
-0.83211255,-8.118617,80,3
-0.5599795,-8.1661005,81,3
-0.53901935,-8.090338,82,3
-0.83692014,-8.154685,83,3
-1.0084472,-8.174253,84,3
-1.7665124,-8.414976,85,3
0.6482414,-8.638063,86,3
1.1185479,11.502601,87,4
1.03013,11.1927595,88,4
1.0505086,11.256919,89,4
1.054005,11.285265,90,4
0.99650806,11.079435,91,4
0.9712232,10.990491,92,4
0.7173449,10.130145,93,4
-0.43231565,7.332695,94,1
0.54101765,6.8289003,95,1
0.7746699,6.6652536,96,1
0.8115748,6.584306,97,1
8.726517,3.494694,98,2
11.112635,2.629622,99,2
0.7149235,6.6822205,100,1
1.0618644,11.315761,101,4
4.800718,-10.38216,102,0
-6.2821245,-9.080405,103,3
11.1218605,2.6203604,104,2
