,0,1,2,3,4
NumCarbonyls,0.0,0.008823529411764675,0.0,0.0,0.0
RotBonds,0.0,0.002941176470588225,0.010294117647058787,0.0,0.0
MW,0.0,0.016176470588235257,0.010294117647058787,0.0,0.0
NumRings,0.0,0.029411764705882325,0.00588235294117645,0.0,0.0
HBA,0.0,0.0,0.0117647058823529,0.0,0.048529411764705856
TPSA,0.0,0.04852941176470586,0.0,0.0,0.04852941176470586
PolarRatio,0.0,0.11176470588235295,0.0,0.0,0.0
HBD,0.0,0.023529411764705865,0.14852941176470588,0.0,0.0
NumSulfurs,0.0,0.0338235294117647,0.0,0.1382352941176471,0.0
NumAromRings,0.18529411764705886,0.05441176470588235,0.0,0.0,0.0
