Feature,Importance
f6,6.484137535095215
f4,5.041175842285156
f16,4.384617805480957
f12,2.998971462249756
f23,2.679257869720459
f7,2.3665096759796143
f2,1.520493745803833
f3,1.2888989448547363
f24,1.2071009874343872
f5,0.9855759739875793
f22,0.8712697625160217
f15,0.8393110632896423
f20,0.7923840880393982
f18,0.6774609088897705
f0,0.5050017833709717
f21,0.4348873794078827
f8,0.42842987179756165
f9,0.3911994993686676
f1,0.2592831254005432
f13,0.21399793028831482
f11,0.12652349472045898
f17,0.05510228872299194
f10,0.04086672142148018
