,Cluster_0_Mean,Cluster_1_Mean,Cluster_0_StdDev,Cluster_1_StdDev,Mean_Difference,Contribution
MW,769.5561849999999,1824.600945290909,361.2425045147547,1680.4776020904196,-1055.0447602909092,0.44735785322577926
LabuteASA,329.7711973363637,758.1647397090909,148.92493620437907,706.5258832770226,-428.3935423727272,0.1730069401113885
MolMR,196.08906363636362,477.9946431818182,99.57001728537836,454.0070262208911,-281.9055795454546,0.11699488666889803
TPSA,157.4336363636364,338.99409090909086,65.76575039832318,293.4113034895442,-181.56045454545446,0.07456154643884214
