Feature,Contribution,Higher_In_Cluster
MW,0.40546316248690684,4
LabuteASA,0.1486622193057524,4
MolMR,0.10720145689733147,4
RotBonds,0.07859848704728838,4
AliphaticCarbonCount,0.07852995022389875,4
