Dim1,Dim2,ID,Label
-1.4600983,-10.728292,1,0
5.894758,2.5715902,2,1
8.177896,2.012665,3,1
7.304782,2.1356292,4,1
8.718211,1.8219966,5,1
6.360348,-9.020256,6,2
5.410629,-8.233574,7,2
5.203732,-8.235024,8,2
5.557941,-7.9998965,9,2
9.755145,2.0080702,10,1
8.012428,1.7283037,11,1
-11.420099,2.4052122,12,3
-11.397231,2.4370403,13,3
-11.361784,2.505605,14,3
-11.4160795,2.4050865,15,3
3.3539596,7.0883565,16,4
3.2993186,7.2868323,17,4
3.363719,7.1262436,18,4
8.131676,2.0273705,19,1
3.301459,7.250358,20,4
-10.973034,3.1948552,21,3
-11.041302,3.0766597,22,3
-11.037672,3.079607,23,3
-8.901059,6.828606,24,3
-8.69484,7.159281,25,3
-7.9065304,8.371438,26,3
-7.1528482,9.510159,27,3
-6.87347,9.93225,28,3
3.4599917,6.732838,29,4
8.000867,1.960623,30,1
3.3455007,7.1623583,31,4
-3.4017804,-11.052218,32,0
-3.4135864,-11.05551,33,0
-3.0238159,-10.986592,34,0
-3.0983863,-10.99852,35,0
-3.345676,-11.041806,36,0
-10.239299,4.5197845,37,3
-8.871219,6.8731604,38,3
-10.076726,4.793857,39,3
-9.880218,5.144253,40,3
-10.47341,4.0949783,41,3
-10.107582,4.748465,42,3
-8.9917755,6.652727,43,3
-7.397061,9.139543,44,3
-7.0833445,9.618117,45,3
-6.7966843,10.030136,46,3
-11.1062565,2.96307,47,3
-9.373166,6.0173373,48,3
-8.135758,8.013238,49,3
-6.88085,9.918639,50,3
3.3463516,7.080734,51,4
3.3988225,6.9958367,52,4
5.5367765,-9.702349,53,2
7.5653415,-9.597657,54,2
-6.9608784,9.799934,55,3
-6.8877234,9.908222,56,3
-8.616969,7.28263,57,3
-1.6587822,-10.7556505,58,0
-1.7248889,-10.76217,59,0
7.615265,-9.567218,60,2
4.289604,-9.761113,61,2
-3.3271728,-11.040162,62,0
7.6106877,-9.533042,63,2
-1.7344493,-10.768286,64,0
7.6477537,-9.559866,65,2
9.213393,1.5755928,66,1
7.509238,-9.606322,67,2
7.675699,-9.602111,68,2
-11.226807,2.743609,69,3
-8.957723,6.7398047,70,3
7.6490064,1.7034819,71,1
9.718322,1.9270477,72,1
9.392772,1.8996954,73,1
7.9625993,0.7178651,74,1
9.681284,1.7614015,75,1
7.9108014,-9.462897,76,2
-8.8549595,6.9035172,77,3
4.295317,-9.388222,78,2
4.7307434,-9.230643,79,2
4.250806,-9.519766,80,2
4.090294,-9.715488,81,2
4.2131724,-9.576151,82,2
4.2562485,-9.487837,83,2
4.3826637,-9.298031,84,2
4.606284,-8.9080925,85,2
0.12407709,-10.3188095,86,0
2.066979,1.3667579,87,1
2.1452427,1.4179417,88,1
2.0288606,1.356334,89,1
2.0833242,1.390665,90,1
2.1595988,1.4311506,91,1
2.3408668,1.5451716,92,1
2.902305,1.7941697,93,1
4.2355647,2.4214,94,1
5.166819,2.6093547,95,1
5.6725163,2.5618792,96,1
5.6725464,2.5410194,97,1
7.4948306,2.0345871,98,1
9.639735,1.9487156,99,1
5.758407,2.5155442,100,1
2.0605493,1.3728226,101,1
-1.2327908,-10.660472,102,0
-10.184843,4.6087914,103,3
9.713869,1.9310418,104,1
