Dim1,Dim2,ID,Label
-12.337875,-4.396212,1,0
3.492173,7.4925284,2,1
7.949093,7.4276285,3,2
6.8852363,7.46819,4,2
8.42436,7.355557,5,2
-3.0513666,-11.8474865,6,3
-1.814748,-11.137815,7,3
-1.9945145,-11.086345,8,3
-1.8420659,-11.010571,9,3
10.101037,7.1543026,10,2
7.788952,7.4279656,11,2
-3.185201,-8.656081,12,3
-0.08007204,-2.0447865,13,1
-1.001515,-0.9321478,14,1
-0.86351264,-0.6590026,15,1
0.78419256,-3.0099323,16,1
0.76528186,-2.9945836,17,1
0.87583977,-3.0831697,18,1
7.7921968,7.4218864,19,2
0.8936654,-3.1247756,20,1
-1.2376242,-0.7658811,21,1
-1.2257619,-0.7529912,22,1
-1.2065881,-0.5247418,23,1
-0.8885246,1.9764012,24,1
-0.71134156,2.4423132,25,1
-0.6214536,2.4727528,26,1
-0.091692284,3.3207126,27,1
0.505686,4.5990014,28,1
3.1356559,7.394362,29,1
7.4346313,7.4520407,30,2
0.92092884,-3.1678197,31,1
-14.1100645,-3.4117756,32,0
-14.013517,-3.466975,33,0
-13.813039,-3.5762687,34,0
-13.866158,-3.5466597,35,0
-14.150464,-3.388914,36,0
-4.735011,-12.723415,37,3
-0.97318274,2.294146,38,1
-4.5986924,-13.600537,39,3
-4.5261927,-13.782791,40,3
-4.5943127,-13.581133,41,3
-4.5168114,-13.76337,42,3
-0.9100706,2.6750314,43,1
-0.121591374,3.775131,44,1
0.3184832,4.4313173,45,1
1.418167,5.9502177,46,1
-1.2590085,-0.75267965,47,1
-0.9759722,2.2737098,48,1
-0.5735657,3.0804658,49,1
0.7450149,5.0392675,50,1
2.153379,6.6463094,51,1
3.0857644,7.348665,52,1
-3.1771588,-10.725279,53,3
-3.8628144,-12.123592,54,3
0.44529256,4.5142636,55,1
1.025674,5.388449,56,1
-0.71563417,2.7952838,57,1
-12.957858,-4.053429,58,0
-12.634397,-4.2289896,59,0
-3.3800242,-12.506413,60,3
-3.3064456,-8.908199,61,3
-14.111782,-3.410164,62,0
-3.3203075,-12.400643,63,3
-12.860608,-4.103437,64,0
-3.4583745,-12.424609,65,3
7.7072473,7.43893,66,2
-3.567109,-12.832305,67,3
-3.5633385,-12.789344,68,3
-1.1626356,-0.6928523,69,1
-0.67201203,1.7308761,70,1
7.5710616,7.455322,71,2
10.01997,7.1641793,72,2
9.903306,7.1779366,73,2
9.786784,7.190031,74,2
10.490804,7.1072674,75,2
-3.9137323,-13.596243,76,3
-1.0221225,-0.18028787,77,1
-2.5147307,-9.207686,78,3
-2.352477,-10.21558,79,3
-2.7987745,-8.99059,80,3
-2.9606757,-8.858989,81,3
-2.953381,-8.791954,82,3
-2.727078,-9.080037,83,3
-2.4371943,-9.466002,84,3
-2.2613108,-10.070982,85,3
-3.4256346,-8.409734,86,3
0.7801733,10.550404,87,1
0.83236986,10.451161,88,1
0.795416,10.533131,89,1
0.7490604,10.608424,90,1
0.85632247,10.411852,91,1
0.89892966,10.316822,92,1
1.2379493,9.665603,93,1
2.3328934,7.328052,94,1
3.2338312,7.5760746,95,1
3.620049,7.5591283,96,1
3.4543836,7.5116844,97,1
7.3433113,7.4598846,98,2
10.102503,7.1557374,99,2
3.3912587,7.496189,100,1
0.77394515,10.562678,101,1
-12.078323,-4.536094,102,0
-4.5012517,-13.748534,103,3
10.169799,7.1460333,104,2
